A,w1,relative_w1,critical_w1,amplitude,simulation_number,N
10.0,3.034244170338159,-0.2,3.234244170338159,0.49557363741998167,3,128
10.0,3.134244170338159,-0.1,3.234244170338159,0.37767250413960224,2,128
10.0,3.134244170338159,-0.1,3.234244170338159,0.22333069472545067,3,128
10.0,3.234244170338159,0.0,3.234244170338159,0.14843857902493113,2,128
10.0,3.234244170338159,0.0,3.234244170338159,0.9662545140075626,3,128
10.0,3.334244170338159,0.1,3.234244170338159,1.1157882251421316,2,128
10.0,3.334244170338159,0.1,3.234244170338159,0.7071756904880715,3,128
10.0,3.434244170338159,0.2,3.234244170338159,1.337779439604912,2,128
10.0,3.434244170338159,0.2,3.234244170338159,0.44046785101038494,3,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,4,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,5,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,6,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,7,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,8,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,9,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,10,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,11,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,12,128
0.0,3.7348680723878998,-0.2,3.9348680723879,4.975120347773534e-15,13,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,4,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,5,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,6,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,7,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,8,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,9,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,10,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,11,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,12,128
0.0,3.8348680723879,-0.1,3.9348680723879,6.042683405785193e-15,13,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,4,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,5,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,6,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,7,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,8,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,9,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,10,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,11,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,12,128
0.0,3.9348680723879,0.0,3.9348680723879,0.16517296326588302,13,128
